2026-05-25 11:04:38 cpu=12% temp=56°C
2026-05-25 11:04:42 cpu=12% temp=57°C
2026-05-25 11:04:46 cpu=14% temp=58°C
2026-05-25 11:04:50 cpu=57% temp=87°C
2026-05-25 11:04:54 cpu=56% temp=92°C
2026-05-25 11:04:58 cpu=12% temp=59°C
2026-05-25 11:05:02 cpu=11% temp=56°C
2026-05-25 11:05:06 cpu=11% temp=56°C
2026-05-25 11:05:11 cpu=23% temp=91°C
2026-05-25 11:05:15 cpu=57% temp=93°C
2026-05-25 11:05:19 cpu=17% temp=59°C
2026-05-25 11:05:23 cpu=10% temp=57°C
2026-05-25 11:05:27 cpu=12% temp=57°C
2026-05-25 11:05:31 cpu=11% temp=55°C
2026-05-25 11:05:35 cpu=57% temp=84°C
2026-05-25 11:05:39 cpu=53% temp=62°C
2026-05-25 11:05:44 cpu=12% temp=58°C
2026-05-25 11:05:48 cpu=12% temp=56°C
2026-05-25 11:05:52 cpu=12% temp=56°C
2026-05-25 11:05:56 cpu=61% temp=80°C
2026-05-25 11:06:00 cpu=57% temp=95°C
2026-05-25 11:06:04 cpu=12% temp=58°C
2026-05-25 11:06:08 cpu=18% temp=56°C
2026-05-25 11:06:12 cpu=12% temp=55°C
2026-05-25 11:06:16 cpu=12% temp=55°C
2026-05-25 11:06:21 cpu=61% temp=91°C
2026-05-25 11:06:25 cpu=11% temp=58°C
2026-05-25 11:06:29 cpu=11% temp=55°C
2026-05-25 11:06:33 cpu=19% temp=55°C
2026-05-25 11:06:37 cpu=13% temp=57°C
2026-05-25 11:06:41 cpu=57% temp=94°C
2026-05-25 11:06:45 cpu=57% temp=96°C
2026-05-25 11:06:49 cpu=12% temp=56°C
2026-05-25 11:06:54 cpu=12% temp=55°C
2026-05-25 11:06:58 cpu=12% temp=55°C
2026-05-25 11:07:02 cpu=56% temp=85°C
2026-05-25 11:07:06 cpu=57% temp=88°C
2026-05-25 11:07:10 cpu=23% temp=61°C
2026-05-25 11:07:14 cpu=14% temp=57°C
2026-05-25 11:07:18 cpu=12% temp=56°C
2026-05-25 11:07:22 cpu=11% temp=55°C
2026-05-25 11:07:27 cpu=57% temp=96°C
2026-05-25 11:07:31 cpu=57% temp=94°C
2026-05-25 11:07:35 cpu=11% temp=58°C
2026-05-25 11:07:39 cpu=11% temp=57°C
2026-05-25 11:07:43 cpu=11% temp=54°C
2026-05-25 11:07:47 cpu=26% temp=90°C
2026-05-25 11:07:51 cpu=57% temp=87°C
2026-05-25 11:07:55 cpu=10% temp=56°C
2026-05-25 11:08:00 cpu=16% temp=55°C
2026-05-25 11:08:04 cpu=12% temp=53°C
2026-05-25 11:08:08 cpu=13% temp=52°C
